Ticker,Name
0001.HK,CK Hutchison Holdings Ltd
0101.HK,Hang Lung Properties Limited
1038.HK,CK Infrastructure Holdings Limited
1093.HK,CSPC Pharmaceutical Group Limited
0011.HK,Hang Seng Bank Limited
1113.HK,CK Asset Holdings Limited
1128.HK,Wynn Macau Ltd.
1169.HK,Haier Electronics Group Co. Ltd.
1177.HK,Sino Biopharmaceutical Limited
0012.HK,Henderson Land Development Co. Ltd.
1299.HK,AIA Group Limited
0016.HK,Sun Hung Kai Properties Limited
0017.HK,New World Development Co. Ltd.
0175.HK,Geely Automobile Holdings Limited
1876.HK,Budweiser Brewing Co. APAC Ltd.
0019.HK,Swire Pacific Limited Class A
1928.HK,Sands China Ltd.
1929.HK,Chow Tai Fook Jewellery Group Limited
1972.HK,Swire Properties Limited
1997.HK,Wharf Real Estate Investment Co. Ltd.
0002.HK,CLP Holdings Limited
2282.HK,MGM China Holdings Limited
0023.HK,Bank of East Asia Ltd.
0241.HK,Alibaba Health Information Technology Ltd.
2638.HK,HK Electric Investments & HK Electric Investments Ltd.
0027.HK,Galaxy Entertainment Group Limited
0288.HK,WH Group Ltd. (HK)
0293.HK,Cathay Pacific Airways Limited
0003.HK,Hong Kong & China Gas Co. Ltd.
0384.HK,China Gas Holdings Limited
0388.HK,Hong Kong Exchanges & Clearing Ltd.
0004.HK,Wharf (Holdings) Ltd.
0522.HK,ASM Pacific Technology Limited
0006.HK,Power Assets Holdings Limited
0656.HK,Fosun International Limited
0659.HK,NWS Holdings Limited
0066.HK,MTR Corporation Limited
0669.HK,Techtronic Industries Co. Ltd.
6808.HK,Sun Art Retail Group Limited
6823.HK,HKT Trust and HKT Ltd
0683.HK,Kerry Properties Limited
0813.HK,Shimao Group Holdings Limited
0823.HK,Link Real Estate Investment Trust
0083.HK,Sino Land Co. Ltd.
0087.HK,Swire Pacific Limited Class B
0880.HK,SJM Holdings Limited
D01.SI,Dairy Farm International Holdings Limited
H78.SI,Hongkong Land Holdings Limited
J36.SI,Jardine Matheson Holdings Limited
J37.SI,Jardine Strategic Holdings Limited
MLCO,Melco Resorts & Entertainment Limited Sponsored ADR
