Temp Name,Category,Fund,Ticker
MercadoLibre,Internet,ARK,MELI
Materialise NV,Software,ARK,MTLS
Compugen Ltd,Biotechnology,ARK,CGEN
Sea Ltd,Software,ARK,SE
Spotify Technology,Internet,ARK,SPOT
CRISPR Therapeutics AG,Biotechnology,ARK,CRSP
AeroVironment,Aerospace,ARK,AVAV
Tesla,Auto Manufacturers,ARK,TSLA
Editas Medicine,Biotechnology,ARK,EDIT
Illumina,Biotechnology,ARK,ILMN
Iovance Biotherapeutics,Biotechnology,ARK,IOVA
Organovo Holdings,Biotechnology,ARK,ONVO
Twist Bioscience,Biotechnology,ARK,TWST
Veracyte,Biotechnology,ARK,VCYT
2U,Commercial Services,ARK,TWOU
Square Inc Class A,Commercial Services,ARK,SQ
ExOne ,Computers,ARK,XONE
Pure Storage,Computers,ARK,PSTG
Stratasys,Computers,ARK,SSYS
Zscaler,Computers,ARK,ZS
LendingClub Corp,Diversified Financial Services,ARK,LC
LendingTree Inc,Diversified Financial Services,ARK,TREE
Cerus Corp,Healthcare Products,ARK,CERS
NanoString Technologies,Healthcare Products,ARK,NSTG
Invitae Corp,Healthcare Services,ARK,NVTA
Teladoc Health,Healthcare Services,ARK,TDOC
Netflix,Internet,ARK,NFLX
Pinterest,Internet,ARK,PINS
Roku,Internet,ARK,ROKU
Snap,Internet,ARK,SNAP
Twitter,Internet,ARK,TWTR
Zillow,Internet,ARK,ZG
Proto Labs,Miscellaneous Manufacturer,ARK,PRLB
Intellia Therapeutics,Pharmaceuticals,ARK,NTLA
Seres Therapeutics,Pharmaceuticals,ARK,MCRB
Syros Pharmaceuticals,Pharmaceuticals,ARK,SYRS
NVIDIA,Semiconductors,ARK,NVDA
Teradyne,Semiconductors,ARK,TER
Xilinx,Semiconductors,ARK,XLNX
Autodesk,Software,ARK,ADSK
Salesforce,Software,ARK,CRM
Slack Technologies,Software,ARK,WORK
Splunk,Software,ARK,SPLK
Workday,Software,ARK,WDAY
