,f_9,f_14,f_18,f_27,f_69,f_76,f_78,f_94,f_104,f_107,f_110,f_122,f_128,f_129,f_130,f_145,f_156,f_165,f_174,f_175,f_176,f_179,f_196,f_197,f_200,f_206,f_213,f_219,f_222,f_224,f_232,f_235,f_249,f_272,f_279,f_294,f_295,f_296,target
0,0.9326,0.729,0.2146,-0.777,2.545,-2.635,2.229,-1.186,0.7466,-1.159,2.715,-0.533,2.732,0.0513,-0.5015,0.10486,0.7295,7.117,-0.557,0.0,0.8027,0.8022,0.7114,4.586,1.0,3.672,1.395,0.7,-1.322,0.7197,-1.357,-1.095,9.13,1.0,-0.7334,0.839,-0.0919,1.2295,2.74
1,0.8994,1.529,-0.8423,-0.816,1.953,-2.94,2.463,-1.491,1.55,0.795,-1.225,2.87,1.92,0.1976,-1.556,0.08887,1.53,3.738,-0.9707,-1.0,0.655,3.176,-4.285,4.37,0.0,3.77,1.5625,1.4,-1.032,3.273,3.193,1.672,5.137,0.0,-1.294,0.7085,5.617,1.308,-2.242
2,0.6313,-0.3354,0.782,1.109,1.058,-1.385,0.7163,-1.943,-0.3257,1.468,2.97,-3.26,-1.104,0.7144,-1.146,0.06604,-0.3396,0.4873,-1.829,-1.0,-2.93,5.887,0.7495,-0.2319,0.0,1.549,1.436,2.889,-1.334,-0.1354,-1.114,1.866,0.03586,0.0,-1.978,-2.258,0.1669,-1.073,-0.9536
3,0.0507,-1.411,0.9644,0.8276,-1.591,1.084,-0.03168,1.563,-1.289,-0.301,2.709,2.926,-5.324,-2.033,1.955,0.0888,-1.411,-1.312,-0.7163,0.0,-1.01,-2.092,6.527,-0.6436,1.0,-0.813,-2.021,-1.669,-1.15,0.1282,4.344,0.4683,-1.853,1.0,1.333,1.751,0.039,-1.904,0.2189
4,0.06125,-1.014,1.014,-0.4607,-0.646,0.1625,0.0998,-1.518,-0.9688,-1.713,0.2974,-0.544,-0.01114,-0.361,0.647,0.08875,-1.015,-0.2056,-1.057,-1.0,0.9766,2.168,1.892,-0.578,0.0,0.185,-0.708,1.09,0.1622,0.673,5.37,-1.828,-0.1775,0.0,-1.102,-0.861,-0.24,-1.55,0.6973
5,-1.791,-0.4949,0.684,0.9224,-0.2433,0.003836,0.542,-0.02267,-0.4736,1.14,-1.664,-1.07,0.825,0.524,0.4758,0.0888,-0.4973,0.1719,0.1508,-1.0,0.7026,0.0504,0.03516,-0.2866,1.0,0.279,0.52,-0.4949,3.18,0.021,2.145,-0.1503,-0.04593,1.0,0.233,0.831,-0.5503,0.1519,0.8677
6,-0.501,-0.527,0.8706,-0.8286,0.383,-0.538,0.507,-1.07,-0.0209,-0.44,0.07495,-0.29,0.9585,0.8823,-0.3828,0.0913,-0.5303,0.2307,-1.425,-1.0,-1.815,0.3828,0.8726,-0.3123,1.0,0.7607,0.4417,1.76,-0.294,-0.131,0.7217,-0.298,0.003145,0.0,-1.437,-1.477,-0.629,1.086,1.984
7,1.18,0.2998,1.219,0.465,3.484,-3.164,1.309,-0.4773,0.305,1.013,0.573,2.17,2.582,0.6733,-2.588,-8.28,0.3027,6.363,-0.1849,-1.0,0.8345,1.81,-0.2815,4.07,0.0,3.549,0.5596,0.3132,-2.08,0.9863,-0.3699,0.1509,8.375,0.0,-0.3342,0.6865,0.6704,1.107,0.1021
8,-0.7437,-1.239,1.19,0.4812,-0.4978,0.3367,-0.00592,0.837,-1.148,0.3477,0.3035,-3.305,-3.1,-0.2028,0.6494,0.0962,-1.24,-0.233,-0.5527,-1.0,-1.297,2.285,-0.526,-0.6177,1.0,-0.1464,-0.356,0.835,-0.967,-0.1838,0.08594,2.92,-0.1836,1.0,-0.7544,-1.044,-0.337,-0.0849,0.2556
9,0.7705,0.972,-0.958,1.5,1.332,-1.452,0.718,-0.10754,0.998,-1.187,3.035,-0.78,-1.101,0.1936,-1.283,0.0864,0.974,-0.0506,-1.0,-1.0,-1.06,2.18,-0.3389,0.5107,1.0,1.327,0.10846,0.986,-1.064,-0.2438,2.375,-1.051,0.0381,1.0,-0.7686,-0.7925,-0.291,-1.182,0.0865
10,-0.1868,-0.5547,0.6123,-1.303,0.06204,-0.1813,0.4106,-0.0794,-0.534,1.169,-1.16,-1.184,-0.105,0.0832,0.06055,0.0914,-0.558,0.00572,-1.331,-1.0,-0.9976,-2.121,1.468,-0.3342,1.0,0.3672,-0.4856,-0.607,-1.129,-0.1676,4.156,0.9243,-0.0668,1.0,0.2,-1.504,-0.1632,-1.0205,1.087
11,0.0902,-0.7637,0.9087,0.3699,0.4585,-0.527,0.2433,-0.4685,-0.708,-0.5747,1.131,0.2512,-0.02194,0.1059,-0.5327,0.0863,-0.7656,0.05164,-1.147,0.0,0.74,1.473,0.08044,-0.4126,1.0,0.5864,-0.4102,1.273,-0.02893,-0.2056,-0.08856,-0.4834,-0.01524,1.0,-1.023,0.854,-0.195,-1.367,-5.445
12,-1.996,-3.98,1.717,-0.7617,-5.594,5.71,-1.315,2.918,-3.785,0.391,0.512,-0.7285,-7.633,-4.266,6.184,0.1148,-3.965,-6.938,2.883,-1.0,0.4038,-0.7134,-1.281,-1.358,0.0,-3.791,-3.791,-4.023,-1.083,1.041,0.4595,0.425,-7.938,0.0,2.979,0.4092,-0.2444,-1.879,-0.7144
13,0.343,-1.114,0.9126,-0.543,-0.6836,0.158,0.2607,-1.029,-1.034,-3.49,-0.11676,1.918,-1.726,-0.521,0.672,0.1167,-1.116,-0.348,-0.923,-1.0,-0.4565,-0.1627,-0.2869,-0.5425,1.0,0.2798,-0.8438,0.9355,2.812,1.581,0.9663,-6.62,-0.3716,1.0,-0.9263,-0.882,-0.2117,1.177,-0.2664
14,-1.33,-2.11,1.958,-0.672,-1.023,1.084,-0.3298,-0.5303,-1.935,-0.934,-6.383,-0.616,-0.1941,0.10767,0.952,0.1294,-2.11,-0.2734,0.983,-1.0,0.656,-0.8623,0.9,-0.783,0.0,-0.533,-1.313,-2.385,1.151,0.217,1.252,-0.5225,-0.2008,0.0,2.29,-1.35,-0.3796,1.117,-1.387
15,-0.536,-0.7256,0.865,0.5483,0.2466,0.03857,0.02763,-0.852,-0.695,-1.549,-0.424,-0.1107,0.6675,1.014,-0.2864,0.09106,-0.728,-0.0773,0.5054,0.0,0.764,-0.02708,-1.87,-0.439,1.0,0.3923,0.994,1.186,1.146,-0.0497,-1.885,-1.213,-0.048,1.0,-1.104,-1.268,-0.4907,1.444,-0.554
16,-0.5063,-0.895,0.637,0.6484,-1.403,1.72,-0.382,1.46,-0.83,1.137,-1.032,1.611,-0.98,-0.768,1.507,0.059,-0.8955,-0.5347,0.7563,-1.0,0.921,-0.2654,-1.467,-0.456,0.0,-0.911,-1.59,-0.8228,-0.03897,-0.1757,0.635,0.0747,-0.607,0.0,0.776,0.9385,-0.4375,0.1958,0.2566
